disease_id,feature_id,value,count
d_spontaneous_pneumothorax,f_e_91,yes,1
d_spontaneous_pneumothorax,f_e_91,no,99
d_spontaneous_pneumothorax,f_e_55_v_89,yes,1
d_spontaneous_pneumothorax,f_e_55_v_89,no,99
d_spontaneous_pneumothorax,f_e_55_v_29,yes,55
d_spontaneous_pneumothorax,f_e_55_v_29,no,45
d_spontaneous_pneumothorax,f_e_55_v_101,yes,50
d_spontaneous_pneumothorax,f_e_55_v_101,no,50
d_spontaneous_pneumothorax,f_e_55_v_55,yes,55
d_spontaneous_pneumothorax,f_e_55_v_55,no,45
d_spontaneous_pneumothorax,f_e_55_v_159,yes,76
d_spontaneous_pneumothorax,f_e_55_v_159,no,24
d_spontaneous_pneumothorax,f_e_55_v_197,yes,1
d_spontaneous_pneumothorax,f_e_55_v_197,no,99
d_spontaneous_pneumothorax,f_e_55_v_62,yes,1
d_spontaneous_pneumothorax,f_e_55_v_62,no,99
d_spontaneous_pneumothorax,f_e_55_v_166,yes,1
d_spontaneous_pneumothorax,f_e_55_v_166,no,99
d_spontaneous_pneumothorax,f_e_55_v_56,yes,55
d_spontaneous_pneumothorax,f_e_55_v_56,no,45
d_spontaneous_pneumothorax,f_e_55_v_160,yes,75
d_spontaneous_pneumothorax,f_e_55_v_160,no,25
d_spontaneous_pneumothorax,f_e_55_v_148,yes,1
d_spontaneous_pneumothorax,f_e_55_v_148,no,99
d_spontaneous_pneumothorax,f_e_55_v_167,yes,1
d_spontaneous_pneumothorax,f_e_55_v_167,no,99
d_spontaneous_pneumothorax,f_e_55_v_21,yes,1
d_spontaneous_pneumothorax,f_e_55_v_21,no,99
d_spontaneous_pneumothorax,f_e_55_v_137,yes,1
d_spontaneous_pneumothorax,f_e_55_v_137,no,99
d_spontaneous_pneumothorax,f_e_55_v_20,yes,1
d_spontaneous_pneumothorax,f_e_55_v_20,no,99
d_spontaneous_pneumothorax,f_e_55_v_108,yes,1
d_spontaneous_pneumothorax,f_e_55_v_108,no,99
d_spontaneous_pneumothorax,f_e_55_v_109,yes,1
d_spontaneous_pneumothorax,f_e_55_v_109,no,99
d_spontaneous_pneumothorax,f_e_55_v_25,yes,1
d_spontaneous_pneumothorax,f_e_55_v_25,no,99
d_spontaneous_pneumothorax,f_e_55_v_170,yes,1
d_spontaneous_pneumothorax,f_e_55_v_170,no,99
d_spontaneous_pneumothorax,f_e_55_v_33,yes,1
d_spontaneous_pneumothorax,f_e_55_v_33,no,99
d_spontaneous_pneumothorax,f_e_53,yes,99
d_spontaneous_pneumothorax,f_e_53,no,1
d_spontaneous_pneumothorax,f_e_57_v_123,yes,99
d_spontaneous_pneumothorax,f_e_57_v_123,no,1
d_spontaneous_pneumothorax,f_e_57_v_39,yes,1
d_spontaneous_pneumothorax,f_e_57_v_39,no,99
d_spontaneous_pneumothorax,f_e_57_v_30,yes,1
d_spontaneous_pneumothorax,f_e_57_v_30,no,99
d_spontaneous_pneumothorax,f_e_57_v_194,yes,1
d_spontaneous_pneumothorax,f_e_57_v_194,no,99
d_spontaneous_pneumothorax,f_e_57_v_31,yes,1
d_spontaneous_pneumothorax,f_e_57_v_31,no,99
d_spontaneous_pneumothorax,f_e_57_v_195,yes,1
d_spontaneous_pneumothorax,f_e_57_v_195,no,99
d_spontaneous_pneumothorax,f_e_57_v_33,yes,1
d_spontaneous_pneumothorax,f_e_57_v_33,no,99
d_spontaneous_pneumothorax,f_e_57_v_170,yes,1
d_spontaneous_pneumothorax,f_e_57_v_170,no,99
d_spontaneous_pneumothorax,f_e_57_v_127,yes,1
d_spontaneous_pneumothorax,f_e_57_v_127,no,99
d_spontaneous_pneumothorax,f_e_57_v_128,yes,1
d_spontaneous_pneumothorax,f_e_57_v_128,no,99
d_spontaneous_pneumothorax,f_e_57_v_171,yes,1
d_spontaneous_pneumothorax,f_e_57_v_171,no,99
