disease_id,prior
d_urti,0.062761
d_hiv_initial_infection,0.028289
d_pneumonia,0.025118
d_chronic_rhinosinusitis,0.020065
d_viral_pharyngitis,0.060103
d_anemia,0.0494
d_atrial_fibrillation,0.020511
d_allergic_sinusitis,0.025549
d_larygospasm,0.010723
d_cluster_headache,0.020285
d_anaphylaxis,0.027026
d_spontaneous_pneumothorax,0.009908
d_acute_pulmonary_edema,0.018543
d_tuberculosis,0.015839
d_myasthenia_gravis,0.018103
d_panic_attack,0.024394
d_scombroid_food_poisoning,0.018072
d_epiglottitis,0.016779
d_inguinal_hernia,0.01973
d_boerhaave,0.014704
d_pancreatic_neoplasm,0.018376
d_bronchitis,0.025741
d_sle,0.011571
d_acute_laryngitis,0.023527
d_unstable_angina,0.020714
d_bronchiectasis,0.018326
d_possible_nstemi_stemi,0.020729
d_chagas,0.009021
d_localized_edema,0.02713
d_sarcoidosis,0.020754
d_spontaneous_rib_fracture,0.005569
d_gerd,0.02533
d_bronchospasm_acute_asthma_exacerbation,0.019379
d_acute_copd_exacerbation_infection,0.01722
d_guillain_barr_syndrome,0.022296
d_influenza,0.026143
d_pulmonary_embolism,0.026782
d_stable_angina,0.016571
d_pericarditis,0.022216
d_acute_rhinosinusitis,0.013239
d_whooping_cough,0.005918
d_myocarditis,0.010797
d_acute_dystonic_reactions,0.025333
d_pulmonary_neoplasm,0.014096
d_acute_otitis_media,0.02527
d_psvt,0.018312
d_croup,0.002781
d_ebola,0.0007
d_bronchiolitis,0.000254
